faction,page_num,distance,tail,fire,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25
german,88,medium,FALSE,none,206,110,149,88,181,22,3,74,45,56,46,46,223,65,108,182,55,75,85,23,207,223,183,208,150,15
german,89,medium,FALSE,none,193,223,223,89,196,78,99,154,210,194,186,223,197,180,223,214,162,123,67,223,223,223,223,223,189,77
german,90,medium,FALSE,none,159,223,223,90,165,79,89,161,185,184,178,223,192,121,223,193,195,160,194,223,223,223,223,223,196,197
german,91,medium,FALSE,in,145,223,223,91,118,120,126,223,223,146,140,223,119,134,223,223,125,131,223,223,223,223,223,223,223,223
german,92,medium,FALSE,none,104,113,176,92,44,145,118,223,223,219,114,199,201,138,200,223,177,171,223,218,217,223,223,223,223,223
german,93,medium,FALSE,in,94,114,177,93,92,146,119,223,223,139,133,44,145,130,201,223,118,124,223,219,104,223,223,223,223,223
german,94,medium,FALSE,none,19,84,55,94,30,219,201,176,113,106,73,29,104,64,45,218,44,54,223,105,6,217,112,199,200,223
german,95,medium,TRUE,none,3,205,209,95,36,48,58,78,37,2,9,35,31,28,198,59,32,5,202,187,15,12,1,33,68,210
german,96,medium,TRUE,out,88,29,36,96,86,37,59,33,8,9,28,75,2,5,3,1,31,32,60,22,65,187,205,198,12,69
german,97,medium,TRUE,none,77,57,86,97,87,8,1,198,213,28,5,156,9,32,88,205,2,31,7,66,191,22,29,3,187,17
german,98,medium,FALSE,none,197,210,154,98,162,14,8,2,5,78,68,223,99,59,189,28,97,37,213,214,223,77,67,87,9,205
german,99,medium,FALSE,none,214,211,155,99,189,28,9,86,57,67,58,223,77,48,190,66,87,96,29,215,223,191,216,156,88,22
german,100,medium,FALSE,none,158,223,223,100,164,90,101,160,184,159,153,223,165,174,223,192,168,129,79,223,223,223,223,223,195,89
german,101,medium,FALSE,none,192,185,161,101,195,4,14,97,68,79,69,223,89,60,196,78,98,38,5,193,223,197,194,162,99,28
german,102,medium,FALSE,none,120,223,223,102,126,103,100,167,152,151,172,223,157,127,223,158,163,166,159,223,223,223,223,223,164,165
german,103,medium,FALSE,none,151,223,223,103,157,159,165,223,223,152,173,223,158,128,223,223,154,167,223,223,223,223,223,223,223,223
german,104,medium,FALSE,none,105,222,183,104,45,218,200,223,223,112,136,56,217,169,208,223,199,175,223,111,46,223,223,223,223,223
german,105,medium,FALSE,none,25,95,66,105,6,111,208,182,221,108,85,5,46,75,57,110,56,65,223,47,32,109,220,206,207,223
german,106,medium,FALSE,none,26,36,29,106,19,112,217,183,222,84,74,188,105,76,6,111,45,55,223,25,209,46,108,56,208,223
german,107,medium,FALSE,none,93,140,125,107,91,151,157,223,223,147,141,118,120,135,119,223,126,132,223,146,145,223,223,223,223,223
german,108,medium,FALSE,none,36,2,5,108,25,220,109,191,204,95,86,209,47,88,32,212,57,66,223,31,198,58,48,67,216,223
german,109,long,FALSE,none,212,223,223,109,216,223,223,223,223,223,223,215,223,223,223,223,223,223,223,223,211,223,223,223,223,223
german,110,long,FALSE,none,220,223,223,110,109,223,223,223,223,223,223,216,223,223,223,223,223,223,223,223,212,223,223,223,223,223
german,111,long,FALSE,none,108,142,206,111,46,223,223,223,223,221,143,57,110,149,109,223,207,182,223,220,47,223,223,223,223,223
german,112,long,FALSE,none,84,85,56,112,105,223,223,223,223,222,144,6,111,150,46,223,208,183,223,108,25,110,221,207,223,223
german,113,long,FALSE,none,73,74,45,113,106,223,223,223,223,136,169,19,112,175,105,223,217,199,223,84,26,111,222,208,223,223
german,114,long,FALSE,none,63,35,30,114,72,113,218,199,136,73,64,20,106,54,19,112,104,44,223,26,27,105,84,45,217,223
german,115,long,TRUE,none,87,28,31,115,96,180,186,79,38,97,99,86,37,78,2,60,59,68,179,9,88,1,8,12,69,185
german,116,long,TRUE,out,156,66,95,116,117,115,202,68,97,87,77,148,96,67,86,37,48,58,180,88,181,2,9,31,59,186
german,117,long,TRUE,none,181,56,85,117,148,96,48,32,9,88,66,149,86,57,75,2,95,47,37,65,182,3,22,36,31,59
german,118,long,FALSE,none,223,223,223,118,223,119,125,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
german,119,long,FALSE,in,223,223,223,119,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
german,120,long,FALSE,none,146,223,223,120,119,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
german,121,long,FALSE,none,98,4,1,121,38,174,153,103,50,39,101,97,49,90,8,71,70,80,173,14,99,7,13,17,81,152
german,122,long,TRUE,out,162,78,37,122,123,121,178,80,39,98,89,154,38,79,97,49,60,69,174,99,189,8,14,1,70,153
german,123,long,TRUE,none,189,67,96,123,154,38,60,12,14,99,78,155,97,68,87,8,37,59,49,77,190,9,28,2,1,70
german,124,long,FALSE,none,223,223,223,124,223,42,52,135,120,119,146,223,125,140,223,126,131,134,102,223,223,223,223,223,132,41
german,125,long,FALSE,in,223,223,223,125,223,126,132,223,223,223,223,223,223,223,223,223,223,223,157,223,223,223,223,223,223,163
german,126,long,FALSE,none,223,223,223,126,223,157,163,223,223,223,223,223,223,223,223,223,223,223,158,223,223,223,223,223,223,164
german,127,long,FALSE,none,40,34,7,127,50,141,147,91,62,51,41,39,61,102,13,83,82,107,140,21,101,18,20,24,93,146
german,128,long,FALSE,out,168,90,49,128,129,127,172,107,51,40,100,160,50,103,39,61,71,81,141,101,195,13,21,7,82,147
german,129,long,FALSE,none,195,79,38,129,160,50,71,17,21,101,90,161,39,80,98,13,49,70,61,89,196,14,4,8,7,82
german,130,long,FALSE,none,125,120,135,130,131,63,72,18,10,42,91,223,52,93,132,27,62,83,26,126,223,41,102,51,20,19
german,131,long,FALSE,in,223,223,223,131,223,52,62,61,102,126,120,223,132,147,223,41,135,141,27,223,223,163,157,166,51,20
german,132,long,FALSE,none,223,223,223,132,223,41,51,50,103,157,151,223,163,172,223,100,166,127,34,223,223,164,158,167,40,21
german,133,long,FALSE,none,52,10,18,133,62,114,219,44,73,63,53,51,72,43,20,106,94,92,113,27,41,19,26,30,104,218
german,134,long,FALSE,mutual,132,102,61,134,135,133,139,92,63,52,42,166,62,91,51,72,83,93,114,41,163,20,27,18,94,219
german,135,long,FALSE,none,163,103,50,135,166,62,83,24,27,41,102,167,51,107,40,20,61,82,72,100,164,21,34,13,18,94
german,136,long,FALSE,none,64,15,19,136,73,222,111,56,85,74,76,63,84,55,26,108,105,45,221,35,53,25,36,6,46,110
german,137,long,FALSE,out,171,43,72,137,138,136,112,45,74,64,54,130,73,44,63,84,106,104,222,53,124,26,35,19,105,111
german,138,long,FALSE,none,124,91,62,138,130,73,106,30,35,53,43,131,63,92,52,26,72,94,84,42,125,27,10,20,19,105
german,139,long,FALSE,none,72,73,44,139,94,223,223,223,223,114,138,30,219,171,104,223,201,177,223,106,19,218,113,200,223,223
german,140,long,FALSE,in,62,63,92,140,83,223,223,223,223,133,130,18,139,124,94,223,145,118,223,72,20,219,114,201,223,223
german,141,long,FALSE,none,51,27,24,141,61,140,146,118,133,62,52,13,83,42,18,139,93,91,223,20,21,94,72,92,145,223
german,142,long,TRUE,none,75,22,25,142,85,204,212,67,96,86,88,74,95,66,36,48,47,57,203,3,76,31,2,32,58,211
german,143,long,TRUE,out,150,55,84,143,144,142,220,57,86,75,65,169,85,56,74,95,108,46,204,76,175,36,3,25,47,212
german,144,long,FALSE,none,175,44,73,144,169,85,108,6,3,76,55,170,74,45,64,36,84,105,95,54,176,35,15,26,25,47
german,145,long,FALSE,none,219,223,223,145,201,223,223,223,223,223,223,200,223,223,223,223,223,223,223,223,218,223,223,223,223,223
german,146,long,FALSE,in,139,223,223,146,145,223,223,223,223,223,223,201,223,223,223,223,223,223,223,223,219,223,223,223,223,223
german,147,long,FALSE,none,83,133,118,147,93,223,223,223,223,140,134,92,146,131,145,223,119,125,223,139,94,223,223,223,223,223
german,148,long,TRUE,none,182,208,144,148,149,86,95,25,22,65,56,223,75,46,150,3,85,108,2,183,223,76,55,74,36,31
german,149,long,TRUE,none,223,223,223,149,223,75,85,84,55,183,208,223,150,111,223,76,144,222,3,223,223,175,199,169,74,36
german,150,long,FALSE,none,223,223,223,150,223,76,74,73,44,199,217,223,175,112,223,54,169,136,15,223,223,176,200,170,64,35
german,151,long,FALSE,none,147,223,223,151,120,223,223,223,223,223,223,119,223,223,223,223,223,223,223,223,146,223,223,223,223,223
german,152,long,FALSE,none,172,223,223,152,151,223,223,223,223,223,223,120,223,223,223,223,223,223,223,223,147,223,223,223,223,223
german,153,long,FALSE,none,71,127,157,153,81,223,223,223,223,173,128,107,152,167,151,223,158,164,223,172,82,223,223,223,223,223
german,154,long,TRUE,none,190,216,117,154,155,97,37,31,28,77,67,223,87,58,156,9,96,48,8,191,223,88,66,86,2,1
german,155,long,TRUE,none,223,223,223,155,223,87,96,95,66,191,216,223,156,212,223,88,117,204,9,223,223,181,206,148,86,2
german,156,long,FALSE,none,223,223,223,156,223,88,86,85,56,206,109,223,181,220,223,65,148,142,22,223,223,182,207,149,75,3
german,157,long,FALSE,none,223,223,223,157,223,158,164,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
german,158,long,FALSE,none,223,223,223,158,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
german,159,long,FALSE,none,152,223,223,159,158,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
german,160,long,FALSE,none,196,194,123,160,161,39,49,1,4,89,79,223,98,69,162,14,38,60,13,197,223,99,78,97,8,7
german,161,long,FALSE,none,223,223,223,161,223,98,38,37,78,197,194,223,162,186,223,99,123,180,14,223,223,189,214,154,97,8
german,162,long,FALSE,none,223,223,223,162,223,99,97,96,67,214,210,223,189,202,223,77,154,115,28,223,223,190,215,155,87,9
german,163,long,FALSE,none,223,223,223,163,223,100,40,129,159,158,152,223,164,173,223,165,167,128,90,223,223,223,223,223,168,101
german,164,long,FALSE,none,223,223,223,164,223,165,168,223,223,223,223,223,223,223,223,223,223,223,192,223,223,223,223,223,223,195
german,165,long,FALSE,none,223,223,223,165,223,192,195,223,223,223,223,223,223,223,223,223,223,223,193,223,223,223,223,223,223,196
german,166,long,FALSE,none,164,159,129,166,167,51,61,7,34,100,103,223,40,81,168,21,50,71,20,165,223,101,90,39,13,18
german,167,long,FALSE,none,223,223,223,167,223,40,50,49,90,165,159,223,168,153,223,101,129,174,21,223,223,195,192,160,39,13
german,168,long,FALSE,none,223,223,223,168,223,101,39,38,79,192,184,223,195,178,223,89,160,121,4,223,223,196,193,161,98,14
german,169,long,FALSE,none,176,201,138,169,170,74,84,19,15,54,44,223,64,104,171,35,73,106,36,177,223,53,43,63,26,25
german,170,long,FALSE,none,223,223,223,170,223,64,73,72,43,177,201,223,171,219,223,53,138,114,35,223,223,124,118,130,63,26
german,171,long,FALSE,none,223,223,223,171,223,53,63,62,91,118,145,223,124,139,223,42,130,133,10,223,223,125,119,131,52,27
german,172,long,FALSE,none,61,62,91,172,82,223,223,223,223,141,135,24,147,132,93,223,120,126,223,83,18,146,140,119,223,223
german,173,long,FALSE,none,50,51,107,173,71,223,223,223,223,127,166,7,172,163,82,223,151,157,223,61,13,147,141,120,223,223
german,174,long,FALSE,none,39,21,17,174,49,173,152,157,127,50,40,8,71,100,7,172,81,103,223,13,14,82,61,107,151,223
german,175,long,FALSE,none,223,223,223,175,223,54,64,138,201,200,218,223,176,113,223,177,170,137,43,223,223,223,223,223,171,53
german,176,long,FALSE,none,223,223,223,176,223,177,171,223,223,223,223,223,223,223,223,223,223,223,223,118,223,223,223,223,223,124
german,177,long,FALSE,none,223,223,223,177,223,118,124,223,223,223,223,223,223,223,223,223,223,223,119,223,223,223,223,223,223,125
german,178,long,FALSE,none,49,50,103,178,70,223,223,223,223,174,129,17,153,168,81,223,159,165,223,71,7,152,173,158,223,223
german,179,long,TRUE,none,38,39,80,179,60,223,223,223,223,121,160,1,178,195,70,223,184,192,223,49,8,153,174,159,223,223
german,180,long,TRUE,none,97,14,12,180,37,179,185,192,121,38,98,2,60,89,1,178,69,79,223,8,9,70,49,80,184,223
german,181,long,FALSE,none,223,223,223,181,223,65,75,144,208,207,110,223,182,221,223,183,149,143,55,223,223,223,223,223,150,76
german,182,long,FALSE,none,223,223,223,182,223,183,150,223,223,223,223,223,223,223,223,223,223,223,199,223,223,223,223,223,223,175
german,183,long,FALSE,none,223,223,223,183,223,199,175,223,223,223,223,223,223,223,223,223,223,223,200,223,223,223,223,223,223,176
german,184,long,FALSE,none,153,223,223,184,159,223,223,223,223,223,223,158,223,223,223,223,223,223,223,223,152,223,223,223,223,223
german,185,long,FALSE,none,178,223,223,185,184,223,223,223,223,223,223,159,223,223,223,223,223,223,223,223,153,223,223,223,223,223
german,186,long,FALSE,none,60,121,192,186,69,223,223,223,223,179,122,80,185,161,184,223,193,196,223,178,70,223,223,223,223,223
german,187,long,FALSE,none,23,94,53,187,15,17,11,41,82,24,18,54,16,20,43,107,10,27,81,92,44,91,93,42,102,103
german,188,long,FALSE,none,33,59,99,188,4,6,29,88,47,32,31,89,5,2,78,57,28,9,46,68,79,67,58,77,66,56
german,189,long,FALSE,none,223,223,223,189,223,77,87,117,216,215,211,223,190,203,223,191,155,116,66,223,223,223,223,223,156,88
german,190,long,FALSE,none,223,223,223,190,223,191,156,223,223,223,223,223,223,223,223,223,223,223,206,223,223,223,223,223,223,181
german,191,long,FALSE,none,223,223,223,191,223,206,181,223,223,223,223,223,223,223,223,223,223,223,207,223,223,223,223,223,223,182
german,192,long,FALSE,none,223,223,223,192,223,193,196,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
german,193,long,FALSE,none,223,223,223,193,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
german,194,long,FALSE,none,185,223,223,194,193,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
german,195,long,FALSE,none,223,223,223,195,223,89,98,123,194,193,185,223,196,179,223,197,161,122,78,223,223,223,223,223,162,99
german,196,long,FALSE,none,223,223,223,196,223,197,162,223,223,223,223,223,223,223,223,223,223,223,214,223,223,223,223,223,223,189
german,197,long,FALSE,none,223,223,223,197,223,214,189,223,223,223,223,223,223,223,223,223,223,223,215,223,223,223,223,223,223,190
german,198,long,FALSE,none,16,82,41,198,10,12,33,101,70,17,7,42,11,13,102,80,34,21,69,107,91,103,81,100,90,79
german,199,long,FALSE,none,223,223,223,199,223,200,176,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
german,200,long,FALSE,none,223,223,223,200,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
german,201,long,FALSE,none,218,223,223,201,200,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
german,202,long,FALSE,none,37,38,79,202,59,223,223,223,223,180,123,12,186,162,69,223,194,197,223,60,1,185,179,193,223,223
german,203,long,TRUE,none,96,97,68,203,48,223,223,223,223,115,154,31,202,189,59,223,210,214,223,37,2,186,180,194,223,223
german,204,long,TRUE,none,86,9,32,204,95,203,211,214,115,96,87,36,48,77,31,202,58,67,223,2,3,59,37,68,210,223
german,205,long,FALSE,none,29,105,76,205,22,24,16,53,94,30,19,65,23,26,55,92,15,35,93,45,56,44,104,54,43,91
german,206,long,FALSE,none,223,223,223,206,223,207,182,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
german,207,long,FALSE,none,223,223,223,207,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
german,208,long,FALSE,none,110,223,223,208,207,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
german,209,long,FALSE,none,11,70,101,209,34,32,5,99,59,12,1,100,33,8,90,68,4,14,58,80,103,79,69,89,78,67
german,210,long,FALSE,none,186,223,223,210,194,223,223,223,223,223,223,193,223,223,223,223,223,223,223,223,185,223,223,223,223,223
